state,type,max_price,min_price,address,lat,lng,landArea,builtUp,sizeUnit,level1,level2,level3
selangor,sale,2688000,2688000,"Section 14, Seksyen 14, Jalan 14, Petaling Jaya,PJ, Selangor",,,5000,3000,SQUARE_FEET,Selangor,Petaling Jaya,
selangor,sale,7700000,7700000,"Pinggiran Golf Saujana, Tropicana Golf & Country Resort , Petaling Jaya , 47410, Selangor",3.10409,101.5848821,9214,10540,SQUARE_FEET,Selangor,Petaling Jaya,
selangor,sale,3980000,3980000,"SS3, Petaling Jaya, PJ , 47300, Selangor",,,7820,4000,SQUARE_FEET,Selangor,Petaling Jaya,
selangor,sale,0,477000,"Seri Kembangan, Selangor",3.007857,101.668341,,From 823 - 2031,,Selangor,Seri Kembangan,Zenopy Residences
selangor,sale,2200000,2200000,"Petaling jaya sec 10 Jln gasing taman Ja, 64200, Selangor",,,5500,6000,SQUARE_FEET,Selangor,Petaling Jaya,
selangor,sale,2380000,2380000,"Rafflesia, 47820, Selangor",,,3030,5400,SQUARE_FEET,Selangor,Damansara Perdana,
selangor,sale,945888,499000,"Kota Kemuning, Shah Alam, Selangor",2.986584,101.521977,,From 953 - 1528,,Selangor,Shah Alam,Amverton Greens
selangor,sale,1600000,1600000,"SERENO, Parcel 8, Empire Residence, 47820, Selangor",,,1352,4880,SQUARE_FEET,Selangor,Damansara Perdana,
selangor,sale,2200000,2200000,"Rafflesia, 47820, Selangor",,,2870,3861,SQUARE_FEET,Selangor,Damansara Perdana,
selangor,sale,2150000,2150000,"Persiaran Tropicana, Tropicana, 47410, Selangor",3.131459,101.594504,,2573,SQUARE_FEET,Selangor,Tropicana,Tropicana Grande
selangor,sale,591800,340800,"Taman Puchong Utama, Puchong, Selangor",2.995952,101.61897,5.69 acres,From 556 - 917,,Selangor,Puchong,Suria Garden @ Puchong
selangor,sale,950000,950000,"Persiaran Tropicana, Tropicana, 47800, Selangor",3.128514,101.596733,,1009,SQUARE_FEET,Selangor,Tropicana,Lumi Tropicana
selangor,sale,530000,530000,"Jalan PJU 1a/4a, Ara Damansara, 47310, Selangor",3.112232,101.583676,,800,SQUARE_FEET,Selangor,Ara Damansara,
selangor,sale,1350000,1350000,"Puteri 6, Bandar Puteri 6, 47100, Selangor",3.015178,101.620364,3000,3000,SQUARE_FEET,Selangor,Bandar Puteri Puchong,
selangor,sale,0,270000,"Seri Kembangan, Selangor",3.07621,101.6732,,From 600,,Selangor,Seri Kembangan,Prestige Residence
selangor,sale,1780000,1780000,"Club kgsaas semi-d inter, 40100, Selangor",,,4865,3490,SQUARE_FEET,Selangor,Shah Alam,
